chain,token,recipient,amount,transactionHash,address,date
avax,0xc677c31AD31F73A5290f5ef067F8CEF8d301e45c,0x6E346B1277e545c5F4A9BB602A220B34581D068B,239,0xf54d87103fbf611e7113d6ce26a455817bf9902d6790febeda1db44a68cff800,0x2849A1F9e4700BEe779232396FD803cdcA7d0cde,2024-11-11 23:43:44
avax,0xc677c31AD31F73A5290f5ef067F8CEF8d301e45c,0x6E346B1277e545c5F4A9BB602A220B34581D068B,716,0x0c18d9cc0d6768aeed45bec512658ce91dc15d222278495e5e377a2e477d9ebe,0x2849A1F9e4700BEe779232396FD803cdcA7d0cde,2024-11-11 23:43:44
avax,0x0773b81e0524447784CcE1F3808fed6AaA156eC8,0x6E346B1277e545c5F4A9BB602A220B34581D068B,549,0x31ea41cfd945dcb057d77687095816f3962d4844523557d87adc582c3744463e,0x2849A1F9e4700BEe779232396FD803cdcA7d0cde,2024-11-11 23:43:44
avax,0x0773b81e0524447784CcE1F3808fed6AaA156eC8,0x6E346B1277e545c5F4A9BB602A220B34581D068B,99,0xabfd7e2638c50cb37e911ff6fb6bafe938bd42d3cd7609711ca1e87cc4dfcf21,0x2849A1F9e4700BEe779232396FD803cdcA7d0cde,2024-11-11 23:43:44
